Date,Content,Video title,Video publish time,Duration,Views
7/15/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/16/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/17/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/18/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/19/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/20/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/21/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/22/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/23/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/24/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/25/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/26/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/27/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/28/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
7/29/2020,GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",27-Apr-23,264,0
