tiktok_video_id,content_link,video_title,publish_day,publish_month,publish_year,duration,likes,shares,comments_added,views,saves,sound_used,post_type,,,,,,
tkvid_155,https:::www.tiktok.com:@thesugarcaneph:video:7221430163467177242?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"""Leonora"" is out now on Youtube and Spotify 🫶",13,4,2023,0:00:25,218100,14200,1473,1400000,16700,Leonora,video,,,,,,
tkvid_156,https:::www.tiktok.com:@thesugarcaneph:video:7221522143413112090?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Replying to @xczzzc ultimo kami kinakabahan na 🥹,13,4,2023,0:00:09,6083,83,60,142000,213,Leonora,video,,,,,,
tkvid_157,https:::www.tiktok.com:@thesugarcaneph:video:7221788748596481306?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Napakinggan niyo na ba ang ""Leonora""?",14,4,2023,0:00:23,18500,296,157,119500,1360,Leonora,video,,,,,,
tkvid_158,https:::www.tiktok.com:@thesugarcaneph:video:7221925384990756102?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,“Leonora (Official MV)” is out now on Youtube!,14,4,2023,0:00:14,4047,40,36,41600,205,Original Sound,video,,,,,,
tkvid_159,https:::www.tiktok.com:@thesugarcaneph:video:7222101948357512454?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Naaalala niyo ba to?,15,4,2023,0:00:56,6034,155,90,42200,408,Original Sound,video,,,,,,
tkvid_160,https:::www.tiktok.com:@thesugarcaneph:video:7222168217861557509?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Naabot natin ang 100K streams sa ""Leonora"" in 2 weeks! ♥ Grabe yung support niyo, sobrang salamat. Watch niyo na rin yung Official Music Video! 🥹 'Di pa 'to natatapos sa music video ng ""Leonora"" promise. NANGANGALAHATI PA LANG KAMI HEHEHE",15,4,2023,0:00:15,1299,11,64,20700,54,Leonora,video,,,,,,
tkvid_161,https:::www.tiktok.com:@thesugarcaneph:video:7222248949602700550?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Heaviest part of the song 💔 Stream “Leonora” by us!,15,4,2023,0:00:43,39200,616,257,267300,4821,Original Sound,video,,,,,,
tkvid_162,https:::www.tiktok.com:@thesugarcaneph:video:7222486321762159878?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,A tribute to Jose Rizal & Leonor Rivera’s tragic tale,16,4,2023,0:00:15,8268,172,127,63600,110,Original Sound,video,,,,,,
tkvid_163,https:::www.tiktok.com:@thesugarcaneph:video:7222589753294703898?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Akshwalee, pwede nyo na panoorin sa youtube ang MV ng ""Leonora""",16,4,2023,0:01:32,4706,90,97,43200,356,Leonora,video,,,,,,
tkvid_164,https:::www.tiktok.com:@thesugarcaneph:video:7222882010841255173?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,sorry credit grabber,17,4,2023,0:00:15,4931,16,97,51200,177,Leonora,video,,,,,,
tkvid_165,https:::www.tiktok.com:@thesugarcaneph:video:7222987162038357274?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,POV: hinaharana ka namin,17,4,2023,0:00:41,190800,2122,1118,1000000,13800,Leonora,video,,,,,,
tkvid_166,https:::www.tiktok.com:@thesugarcaneph:video:7223233313534692634?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Pakinggan nyo rin ""Leonora"" maganda to promise",18,4,2023,0:00:27,70500,620,520,1700000,5356,Leonora,video,,,,,,
tkvid_167,https:::www.tiktok.com:@thesugarcaneph:video:7223337246445866245?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,akala nyo ibang content na no?? hindi!!! leonora pa rin yan!,18,4,2023,0:00:20,57800,423,530,298700,3574,sunet original,video,,,,,,
tkvid_168,https:::www.tiktok.com:@thesugarcaneph:video:7223590922414525722?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Wait til end para sa pasabog 💨,19,4,2023,0:00:29,6726,75,269,46700,436,Leonora,video,,,,,,
tkvid_169,https:::www.tiktok.com:@thesugarcaneph:video:7223683711982636315?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Tamang games lang sa gedli,19,4,2023,0:00:17,68800,808,591,413500,4700,Leonora,video,,,,,,
tkvid_170,https:::www.tiktok.com:@thesugarcaneph:video:7224026639615675654?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,We made it! 🥺 “Kung Maging Akin Ka” debuts at #94 on Spotify PH Viral Chart! All thanks to your support grabe 😭🫶 We love you so much!,20,4,2023,0:00:55,2646,82,241,32000,119,Original Sound,video,,,,,,
tkvid_171,https:::www.tiktok.com:@thesugarcaneph:video:7224086242395213062?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Leonora - Official Guitar Chords. Watch the full video on Youtube 🌹,20,4,2023,0:01:02,14100,175,198,244600,2880,Leonora,video,,,,,,
