"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks",Views,"Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Negative feedback from users: Hide all","Negative feedback from users: Hide","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
1103704027783275,100044310645639,SUGARCANE,"IVOS was really an inspiration for us as a band, especially when we were starting palang. Kaya we wanted to congratulate them for “Come Inside of My Heart”,  surpassing 200M streams on Spotify!! ❤️‍🔥","IVOS was really an inspiration for us as a band, especially when we were starting palang. Kaya we wanted to congratulate them for “Come Inside of My Heart”,  surpassing 200M streams on Spotify!! ❤️‍🔥

@[100064878091978:2048:Warner Music Philippines]",68,"10/11/2024 05:54",mixed,https://www.facebook.com/thesugarcaneph/videos/8438030399647884/,0,0,Videos,,,,,Lifetime,0,13440,745,665,19,61,765,,761,4,0,13440,0,4503,330,4157,315,0,4503,,,94619.079,7.994,0.07
1102925937861084,100044310645639,SUGARCANE,"We’ll be live tomorrow on Nestlé’s TikTok account at 3:30PM. See you all there! ☕️","We’ll be live tomorrow on Nestlé’s TikTok account at 3:30PM. See you all there! ☕️",18,"10/10/2024 06:11",N/A,https://www.facebook.com/thesugarcaneph/videos/495766376619655/,0,0,Videos,,,,,Lifetime,0,2811,128,117,2,9,33,,33,,0,2811,0,476,0,411,0,0,476,1,,7078.012,2.978,0
1100650138088664,100044310645639,SUGARCANE,"Salamat sa lahat ng pumunta at nakisaya sa Circus Music Festival!! Sana nag enjoy kayo sa ating zumba session eme 🤣 

📹: Noel Macadangdang & Ivan Aguillon of ACNM Media","Salamat sa lahat ng pumunta at nakisaya sa @[100086305240138:2048:Circus Music Festival]!! Sana nag enjoy kayo sa ating zumba session eme 🤣 

📹: @[1848451282:2048:Noel Macadangdang] & @[1795655190:2048:Ivan Aguillon] of @[100080065946395:2048:ACNM Media]",98,"10/07/2024 03:01",N/A,https://www.facebook.com/thesugarcaneph/videos/560327703006057/,1,0,Videos,,,,,Lifetime,0,4112,360,323,13,24,160,,160,,0,4112,0,1567,156,1368,133,0,1567,,,35229.349,8.252,0.01
1097880448365633,100044310645639,SUGARCANE,"Live performance of ""Pagbigyan"" on Wish 107.5 Bus","PAGBIGYAN ANG DINARAMDAM!

Live performance of ""Pagbigyan"" on Wish 107.5 Bus 🪢

Watch full video here: https://youtu.be/UpAVv4xRVeI?si=HkeGzuhZwO6bW097",46,"10/03/2024 06:14",N/A,https://www.facebook.com/thesugarcaneph/videos/903316918362040/,0,0,Videos,,,,,Lifetime,0,8067,999,879,27,93,605,,581,24,0,8067,0,4080,0,3345,0,0,4080,,,81128.716,8.909,0.05
1097699331717078,100044310645639,SUGARCANE,"“Pagbigyan” on Wish 107.5 premieres later at 9PM 🪢",,0,"10/03/2024 00:48",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0uKQXRMTAokW4Xwau4tAS4eAZr2gWJufpcNuLUoPqin2pYxiUxiV1czA7h69W33r8l,0,1,Photos,,,,,Lifetime,0,6910,260,246,5,9,199,63,136,,0,6910,0,0,0,0,0,0,0,,,,,
1097082075112137,100044310645639,SUGARCANE,"Wishing the happiest of birthdays to our drummer & one-and-only wordsmith! 🥁📝",,0,"10/02/2024 05:10",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0NGXnyMsZzexhdZXqURBBJV19zLimhCsMEbq7ruRXRBJ38JcCSsqvV8phiUrNQpw7l,0,0,Photos,,,,,Lifetime,0,12627,810,692,96,22,596,88,508,,0,12627,0,0,0,0,0,0,0,,,,,
1096263115194033,100044310645639,SUGARCANE,"First Circus Music Festival! Wild crowd, sobrang unforgettable nito! Maraming salamat 🤘❤️‍🔥

📷: Noel Macadangdang & Ivan Aguillon of ACNM Media",,0,"10/01/2024 03:30",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02UpujFGMXukkWt2n5krA5s4Ww3CKYZ4GeLnAub8u8tM1HNLCodEuuFbc1wfX4Y4UCl,0,0,Photos,,,,,Lifetime,0,11511,773,683,40,50,1246,867,379,,0,11511,0,0,0,0,0,0,0,,,,,
1093667658786912,100044310645639,SUGARCANE,"Good morning, folks! Leonora zumba version tayo mamayang 9 AM! See you 🫶🏻",,0,"09/27/2024 16:45",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0arVVdzXBDMHkdANtYAMoe8eBccrCZLKQbv6AuGwweozDCP4KriRf31pyoTipWhKNl,0,0,Photos,,,,,Lifetime,0,16865,563,519,20,24,1569,1083,486,,0,16865,0,0,0,0,0,0,0,1,,,,
1083083433178668,100044310645639,SUGARCANE,"Exciting!! Kita kita tayo sa Jess & Pat's sa September 20, folks! We’ll be sharing the stage with SUD 🤝

🎟️: Message Jess & Pat’s to reserve your slots",,0,"09/13/2024 05:14",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0BbRGRCe7E6M7zXJotJKpP2ku18si3Fvf6RvHmNivCDUSMxpNuTenwLE3iQqncCk6l,0,0,Photos,,,,,Lifetime,,7381,451,392,36,23,431,64,365,2,,7381,0,0,0,0,0,0,0,,1,,,
1080439546776390,100044310645639,SUGARCANE,"Need rant buddy?   Kwento niyo lang sa comment section ang ""sana pinili ko nalang sarili ko"" moments nyo tapos pag-usapan natin yan 🥹🫂","Need rant buddy? 

Kwento niyo lang sa comment section ang mga""sana pinili ko nalang sarili ko"" moments nyo tapos pag-usapan natin yan 🥹🫂",39,"09/09/2024 03:09",mixed,https://www.facebook.com/thesugarcaneph/videos/1060527192741382/,0,0,Videos,,,,,Lifetime,,14919,272,253,7,12,217,,216,1,,14919,0,2277,0,2099,0,0,2277,,,40677.005,4.321,0.03
