Content,Video title,Video publish time,Duration,Impressions,Impressions click-through rate (%),Average views per viewer,New viewers,Subscribers gained,Subscribers lost,Likes,Shares,Comments added,Views,Watch time (hours),Average view duration,Year,Month,Day,Day_of_Week,Hour,Duration_seconds,Performance Cluster,Performance Label
hOf7m31ZvgQ,SUGARCANE - Leonora (Official Lyric Video),2023-03-30,235.0,191598507,8.14,,,50642,1166,139365,226724,2817,36513253,1985592.122,0:03:15,2023,3,30,Thursday,0,0.0,1,High
e_my_QCalLI,SUGARCANE - Leonora (Official Music Video),2023-04-14,298.0,122648350,5.85,,,45223,869,121705,46044,2462,13935088,797371.135,0:03:25,2023,4,14,Friday,0,0.0,2,Medium
GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",2023-04-27,264.0,18724150,7.62,,,10067,177,32034,22462,773,2956969,160882.5557,0:03:15,2023,4,27,Thursday,0,0.0,0,Low
gsYQX9lDkBw,SUGARCANE - Kung Maging Akin Ka (Official Lyric Video),2021-02-13,254.0,14740985,7.95,,,6879,111,19155,27744,837,2891517,167984.1115,0:03:29,2021,2,13,Saturday,0,0.0,0,Low
JmwJUB5TEbo,SUGARCANE - Leonora (Lyrics),2023-12-13,232.0,13724747,9.45,,,0,0,7160,14949,177,2733533,140982.2018,0:03:05,2023,12,13,Wednesday,0,0.0,0,Low
Rw8x2trAZZ0,SUGARCANE - Dalangin (Official Lyrics & Chords),2021-07-31,343.0,12141725,8.0,,,7210,113,17089,19228,552,2149921,152970.1698,0:04:16,2021,7,31,Saturday,0,0.0,0,Low
EBqRQKbJA9g,"SUGARCANE, JC Herrero - Paruparo (Official Lyrics & Chords)",2022-07-07,297.0,9399638,8.68,,,5045,66,11520,19674,368,1578276,98156.315,0:03:43,2022,7,7,Thursday,0,0.0,0,Low
xQDZ4SjYVkk,SUGARCANE - Gunita (Official Lyric Video),2020-07-05,332.0,8400601,8.22,,,5201,71,13738,15330,645,1518975,105761.6888,0:04:10,2020,7,5,Sunday,0,0.0,0,Low
MrDnh6CACCk,"SUGARCANE, JC Herrero - Paruparo (Official Music Video)",2022-07-16,304.0,7434792,7.74,,,6128,87,18570,7476,703,930504,44966.6751,0:02:53,2022,7,16,Saturday,0,0.0,0,Low
_pOmGWTmuek,Leonora,2023-03-30,235.0,6141837,5.91,,,23,0,47236,13223,181,6793812,327186.5992,0:02:53,2023,3,30,Thursday,0,0.0,0,Low
BUxdzinLdLM,"SUGARCANE, Angelica Gantang - Sinehan (Official Music Video)",2023-09-24,217.0,4850453,7.0,,,3282,42,15270,3466,594,508718,17953.5511,0:02:07,2023,9,24,Sunday,0,0.0,0,Low
fZOMwXxQmqs,SUGARCANE - Maria Clara (Official Lyric Video),2024-03-07,274.0,4201973,7.52,,,2302,37,9596,8385,353,643878,35279.3764,0:03:17,2024,3,7,Thursday,0,0.0,0,Low
rehKbRxoxTo,SUGARCANE - Maria Clara (Official Music Video),2024-03-22,278.0,3237013,7.04,,,2305,60,8651,3298,247,571957,27261.3604,0:02:51,2024,3,22,Friday,0,0.0,0,Low
akq03K3qGPQ,Leonora (Lyrics) - Sugarcane,2023-07-24,232.0,3049213,7.39,,,0,0,1518,2117,24,434551,20379.7328,0:02:48,2023,7,24,Monday,0,0.0,0,Low
zUI2DdV2anI,Kung Maging Akin Ka,2022-03-10,254.0,2962120,6.41,,,243,9,14095,6947,138,1562428,79761.7871,0:03:03,2022,3,10,Thursday,0,0.0,0,Low
YkKJclV7viE,Dalangin,2022-03-10,342.0,2950673,6.17,,,28,1,8108,3736,100,862218,55651.9026,0:03:52,2022,3,10,Thursday,0,0.0,0,Low
0OxubinizpE,Sugarcane - Leonora - We Play Here Live,2023-06-09,250.0,2711367,4.96,,,0,0,2737,696,70,321412,17475.7877,0:03:15,2023,6,9,Friday,0,0.0,0,Low
keG9p9k3Ff8,SUGARCANE - Leonora (Official Instrumental/Karaoke),2023-04-22,231.0,2689812,15.76,,,1877,36,7430,32137,121,520963,17611.9389,0:02:01,2023,4,22,Saturday,0,0.0,0,Low
