"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
1130570628429948,100044310645639,SUGARCANE,"Uy may bagong kanta Sugarcane stream nyo na 🤩
sugarcane.lnk.to/laginalang","Uy may bagong kanta Sugarcane stream nyo na 🤩
sugarcane.lnk.to/laginalang",18,"11/18/2024 02:08",mixed,https://www.facebook.com/reel/1210833206690798/,1,0,Reels,,,,,Lifetime,4910,4243,159,146,4,9,0,,,,26539.31,6.468,0
1131177018369309,100044310645639,SUGARCANE,"Pano naman yung pangarap ko? 

Stream Lagi Na Lang here: sugarcane.lnk.to/laginalang","Pano naman yung pangarap ko? 

Stream Lagi Na Lang here: sugarcane.lnk.to/laginalang",18,"11/18/2024 23:15",N/A,https://www.facebook.com/reel/466936732629709/,1,0,Reels,,,,,Lifetime,16099,15131,205,177,11,17,0,,,,91604.638,6.255,0
1131831908303820,100044310645639,SUGARCANE,"Naiyak siguro sya kaya ganyan lang reply nya 

Stream Lagi Na Lang
sugarcane.lnk.to/laginalang","Naiyak siguro sya kaya ganyan lang reply nya 

Stream Lagi Na Lang
sugarcane.lnk.to/laginalang",18,"11/19/2024 22:36",N/A,https://www.facebook.com/reel/3333068213495967/,1,0,Reels,,,,,Lifetime,3225486,2343876,171457,133940,9611,27906,0,,,,26361337.636,10.384,0
1132505444903133,100044310645639,SUGARCANE,"#WePlayHereSchoolTour in UST? 👀

See you tomorrow, Thomasians!

And aside from that, we’ve prepared something exciting just for you. Stay tuned for our post on our socials — you won’t want to miss it! 💌🔍

📅: November 22
🎟️: Event is open to UST students only

UST CFAD Student Council
Warner Music Philippines
We Play Here",,0,"11/20/2024 22:03",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid04RSQBi8kkEw11CEgXwjbHhi97rmyCJp9yyBCr73tjLB9XN1TPYJvCUCKVCSE3XRfl,0,1,Videos,,,,,Lifetime,,2022,85,83,2,0,158,158,,,,,
1132612441559100,100044310645639,SUGARCANE,"Who's ready for #WePlayHereSchoolTour in UST? 🐯

Thomasians, be sure to not miss this out, kasi sa mismong araw ng We Play Here sa UST-CFAD, we will be scattering envelopes around the campus for you to find. 💌🔍

These envelopes will serve as your invitation for a 𝐯𝐞𝐫𝐲 𝐬𝐩𝐞𝐜𝐢𝐚𝐥 𝐞𝐯𝐞𝐧𝐭.

⚠️: Stay tuned on our socials — we will be posting clues tomorrow, basta paunahan na lang makahanap ng envelopes bukas sa UST, g?!

PS. Kapag isa kayo sa mga mapalad na makakuha ng envelope sa Friday, scan the QR code to register and know more about the details!

Warner Music Philippines
UST CFAD Student Council",,0,"11/21/2024 01:01",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid037tGoMW1mUYBu1i4cncN13oyWFmwBnFv1rVHnvF6YTm4TmSw4oEtd5zHSMntt79Dxl,0,0,Photos,,,,,Lifetime,17757,8198,445,377,37,31,1190,841,349,,,,
1133348374818840,100044310645639,SUGARCANE,"THOMASIANS!! 🐯📢 

Look out for envelopes scattered around the UST Campus! Hints for the locations can be seen at the photos below 💌🔍: 

These envelopes will serve as your invitation for a 𝐯𝐞𝐫𝐲 𝐬𝐩𝐞𝐜𝐢𝐚𝐥 𝐞𝐯𝐞𝐧𝐭.

⚠️: Kapag isa kayo sa mga mapalad na makakuha ng envelopes, tag us on all of our social media platforms, @thesugarcaneph — scan the QR code to register and know more about the details!

Warner Music Philippines
UST CFAD Student Council",,0,"11/22/2024 02:38",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02EaqvH3u9tD7o26TqRT7h6bW9qFqHZGvMM84d6s6S6nXqzFHyteRYP63jMJaT5J1Dl,0,0,Photos,,,,,Lifetime,14937,9224,214,193,16,5,1767,773,993,1,,,
1134017354751942,100044310645639,SUGARCANE,"Tara mamaya for Kenaniah and Janine Teñoso's intimate gig! 🥰

Since Jess & Pat's is very close to our hearts for being not just our go-to gig place but also a place were we get to hang out with you, folks, we will be scattering envelopes around the vicinity for you to find. 💌🔍

These envelopes will serve as your invitation for a 𝐯𝐞𝐫𝐲 𝐬𝐩𝐞𝐜𝐢𝐚𝐥 𝐞𝐯𝐞𝐧𝐭.

⚠️: Stay tuned on our socials — we will be posting clues later, paunahan na lang makahanap ng envelopes! 

PS. Kapag isa kayo sa mga mapalad na makakuha ng envelope mamaya, scan the QR code to register and know more about the details!

Warner Music Philippines",,0,"11/23/2024 01:55",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0U2H6FwyvvrzU8K9y35Tbn8wu8viUTpJGUK1hbco6yQAsg1qt9bkKJ9JxnhzEFqHnl,0,0,Photos,,,,,Lifetime,8961,5242,180,172,0,8,210,105,104,1,,,
1134039021416442,100044310645639,SUGARCANE,"FOLLOW THE RED STRING P2!! 📢 

Free ba kayo tonight? Tara sa Jess and Pats for Kenaniah and Janine Teñoso intimate gig! 🥰

Also!! Look out for envelopes scattered around Jess & Pat's! Hints for the locations can be seen at the photos below 💌🔍

These envelopes will serve as your invitation for a 𝐯𝐞𝐫𝐲 𝐬𝐩𝐞𝐜𝐢𝐚𝐥 𝐞𝐯𝐞𝐧𝐭.

⚠️: Kapag isa kayo sa mga mapalad na makakuha ng envelopes, tag us on all of our social media platforms, @thesugarcaneph — scan the QR code to register and know more about the details!

Warner Music Philippines",,0,"11/23/2024 02:39",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02Fk7kefBDvHEWjeT9zSVoseMdeSaQyUFCzFds2GS2yTrFKf8tTzescNYTYwUM2QPel,0,0,Photos,,,,,Lifetime,4488,2863,59,58,0,1,142,33,109,,,,
1136062131214131,100044310645639,SUGARCANE,"Hi folks! May super special na event kami this Saturday, November 30, sa Makati, and there are only a few slots left! Gusto niyo bang sumama? Madali lang, just post 3 photos with us and tag us in your stories - first 10 to do it gets in! 💌 

‼️10 SLOTS LEFT",,0,"11/26/2024 03:14",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02GrScZGMaa8zL3o1dBg3sSMM6Rr59C7hswvDZ4VeQn8oX7XTgiLkatuq5pUy5xR4kl,0,0,Photos,,,,,Lifetime,8912,5263,287,256,16,15,429,362,67,,,,
1136721984481479,100044310645639,SUGARCANE,"Finally sharing moments from the Isetann_Official Mall Show! Huge thanks to everyone who showed up and made it such a special time! ❤️‍🔥

📹: Noel, Alyxter, and Jeus of ACNM Media","Finally sharing moments from the @[100069429872109:2048:Isetann_Official] Mall Show! Huge thanks to everyone who showed up and made it such a special time! ❤️‍🔥

📹: Noel, Alyxter, and Jeus of @[100080065946395:2048:ACNM Media]",53,"11/27/2024 02:51",mixed,https://www.facebook.com/thesugarcaneph/videos/955496923278537/,0,0,Videos,,,,,Lifetime,3326,2291,211,188,9,14,86,86,,,22749.028,7.639,0.04
1140722684081409,100044310645639,SUGARCANE,"Maraming salamat sa lahat ng pumunta sa ating 𝑯𝒖𝒈𝒐𝒕 𝑯𝒂𝒏𝒈𝒐𝒖𝒕𝒔! 💌🥹

Join our SugarFolks community page for more exclusive announcements: SugarFolks

Special thanks to:
SugarFolks
Warner Music Philippines
ARK Productions
UNWND Boutique Hotel Makati",,0,"12/03/2024 00:10",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0mcxNWr6VdbmW3AS8BSNnX6D6bXwTmEgCgThf83PxmLRkyd8wESC1EEwfvAk4oHCZl,0,1,Photos,,,,,Lifetime,6123,4112,114,107,4,3,131,84,47,,,,
