"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Negative feedback from users: Hide all","Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
1057818912371787,100044310645639,SUGARCANE,"See you, folks! Message Jess & Pat's to reserve a slot 🫶🏻✨",,0,"08/06/2024 02:29",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02BoRzVWQFkiNgLoYkajc6evc21ZV2B1UyVascxNozoXfcuUmyjWvvV1Uu2VrFwKNjl,0,0,Photos,,,,,Lifetime,4451,262,248,0,14,,167,123,44,,4451,0,0,0,0,0,0,0,,,
1057145369105808,100044310645639,SUGARCANE,"READY FOR WE PLAY HERE? 🔥 

Gear up for We Play Here with Warner Music Philippines x MYX Global x Magic 89.9’s 𝐏𝐫𝐞-𝐒𝐡𝐨𝐰 at saGuijo Cafe + Bar Events on August 9! See you there!",,0,"08/05/2024 03:00",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0VGMdUUU5pHdpeGhu2vate142mWAHzgcwfCggBjgbHsRJH2gT157qcvqaoRaqGm5Ql,0,0,Photos,,,,,Lifetime,3808,284,259,8,17,,155,128,27,,3808,0,0,0,0,0,0,0,,,
1056626809157664,100044310645639,SUGARCANE,"Happy birthday to our human drone, Luis Beato 🥳",,0,"08/04/2024 06:41",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0xwRAZ5on4aqdPzKH5DHMYYrj8baWeqGBZq9L7ePsnu6zMiGxoVc8MmbVgH7aURxUl,0,0,Photos,,,,,Lifetime,6851,711,604,75,32,,320,281,39,,6851,0,0,0,0,0,0,0,,,
1056464319173913,100044310645639,SUGARCANE,"Super excited for this! See you all, folks! 🔥",,0,"08/04/2024 01:07",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0A88Ht9qE1aAKEGywV2YfWyACdG8egcdQhgA5rEoSEPLrtK74BCQMhw61ScpFtuoRl,0,1,Photos,,,,,Lifetime,6579,206,191,9,6,,374,235,90,49,6579,0,0,0,0,0,0,0,,,
1055927652560913,100044310645639,SUGARCANE,"PAGBIBIGYAN NAMIN KAYO","PAGBIBIGYAN NAMIN KAYO 🪢 

Comment down your creative dares na gusto niyong gawin namin 🤩",44,"08/03/2024 04:59",auto,https://www.facebook.com/thesugarcaneph/videos/7980004415440393/,0,0,Videos,,,,,Lifetime,1770,252,206,33,13,,238,238,,,1770,0,1086,0,907,0,0,1086,20755.431,9.499,0.01
1055255672628111,100044310645639,SUGARCANE,"hope this song brings you comfort no matter what you're going through","hope this song brings you comfort no matter what you're going through 🪢

sugarcane.lnk.to/pagbigyan",33,"08/02/2024 03:11",mixed,https://www.facebook.com/thesugarcaneph/videos/985037220072864/,0,0,Videos,,,,,Lifetime,5647,208,177,13,18,,189,186,,3,5647,0,2162,0,2104,0,0,2162,29624.79,6.182,0.05
1054646226022389,100044310645639,SUGARCANE,"Pasasalamatan ka ng future self mo, kapag pinagbigyan mo na sarili mong lumigaya 🥲","Pasasalamatan ka ng future self mo, kapag pinagbigyan mo na sarili mong lumigaya 🥲",80,"08/01/2024 04:12",N/A,https://www.facebook.com/thesugarcaneph/videos/1277330960290977/,0,0,Videos,,,,,Lifetime,3014,205,168,15,22,,209,209,,,3014,0,1182,189,1041,180,0,1182,32820.779,10.57,0.01
1054533692700309,100044310645639,SUGARCANE,"DLSMHSI Folks! 🪢

Join us on August 3 at De La Salle Medical and Health Sciences Institute. We will be sharing the stage with our idolz, Dilaw. 💛

Note: This event is open to all colleges and departments at DLSMHSI❗

College of Nursing Student Council",,0,"07/31/2024 23:14",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid07sBbu9uStjTWCEeAcEGSjCorB9SLVZ3xo2veHJHEVVN1V6szztZwFAY4NxVxZSUNl,0,0,Photos,,,,,Lifetime,9653,524,469,20,35,,1214,1027,181,6,9653,0,0,0,0,0,0,0,,,
1053917742761904,100044310645639,SUGARCANE,"Welcome to the new era, folks! 🪢","Napanood niyo na ba MV ng Pagbigyan? 🪢

youtu.be/NvLyyyuB8Yc

Kung hindi pa kami na dadalaw sa pagtulog niyo, para ipanood sa inyo 😂

Stream here: sugarcane.lnk.to/pagbigyan",62,"07/31/2024 03:00",mixed,https://www.facebook.com/thesugarcaneph/videos/1641450180039180/,0,0,Videos,,,,,Lifetime,7603,434,379,14,41,,243,240,,3,7603,0,4352,158,4068,153,0,4352,81638.512,11.237,0.02
1052604839559861,100044310645639,SUGARCANE,"Kanta tungkol sa pagmamahal na uunahin ang sarili 🪢","Gumawa kami ng kanta tungkol sa pagmamahal na uunahin ang sarili 🪢

Here's a reenactment of how ""Pagbigyan"" was written. All of this is thanks to our amazing producer, who worked his magic to bring the song to life — Brian Lotho.

sugarcane.lnk.to/pagbigyan",75,"07/29/2024 03:00",auto,https://www.facebook.com/thesugarcaneph/videos/1005467724219074/,0,0,Videos,,,,,Lifetime,3284,451,397,22,32,,300,299,,1,3284,0,1982,417,1718,374,0,1982,58458.118,12.612,0.03
1051959006291111,100044310645639,SUGARCANE,Pagbigyan,"Pagbigyan ft. Carl, Carlo, and Carlito 🪢

sugarcane.lnk.to/pagbigyan",35,"07/28/2024 03:00",N/A,https://www.facebook.com/thesugarcaneph/videos/863448485691967/,0,0,Videos,,,,,Lifetime,6542,663,570,21,72,,427,425,,2,6542,0,3047,0,2594,0,0,3047,45668.759,7.085,0
1051945489625796,100044310645639,SUGARCANE,"Kung naghahanap ka ng sign para pagbigyan ang sarili mong makalaya sa bagay na hindi na nagpapasaya sayo, baka ito na yun 🪢 
Stream “Pagbigyan,” and find the strength to prioritize your own happiness 🫂
sptfy.com/pagbigyan",,0,"07/27/2024 20:06",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid032KEJTF9XCLNLNopiaxs6QeACwB7XiAXfB45Yh4wMMLscos9w4SZ8MzpQvjg69XNkl,0,0,Text,,,,,Lifetime,8483,716,608,54,54,,416,399,,17,8483,0,0,0,0,0,0,0,,,
1050932233060455,100044310645639,SUGARCANE,"Thank you so much, Spotify! Our latest single, 'Pagbigyan,' is featured on Spotify's New Music Friday playlist. 🪢

Stream it here: sptfy.com/pagbigyan

#Pagbigyan",,0,"07/26/2024 06:00",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02tPg2BBann1Znnmpz2xugp6abt3CpuNMd7tw5yGU4qNraxkdkt7VPHbMpxKKQhpe6l,0,0,Photos,,,,,Lifetime,17374,473,415,30,28,,182,141,35,6,17374,0,0,0,0,0,0,0,,,
1050846699735675,100044310645639,SUGARCANE,"Pagbigyan MV, Out now on YouTube 🪢","""𝐏𝐀𝐆𝐁𝐈𝐆𝐘𝐀𝐍"" 𝐌𝐔𝐒𝐈𝐂 𝐕𝐈𝐃𝐄𝐎, 𝐎𝐔𝐓 𝐍𝐎𝐖 𝐎𝐍 𝐘𝐎𝐔𝐓𝐔𝐁𝐄 🪢

Watch here: youtu.be/NvLyyyuB8Yc

Napanood niyo na bang lahat? Comment down below kung anong favorite part mo sa MV 😤",37,"07/26/2024 03:00",N/A,https://www.facebook.com/thesugarcaneph/videos/463573939765886/,1,0,Videos,,,,,Lifetime,4880,592,463,41,88,,217,213,,4,4880,0,1792,0,1440,0,0,1792,28347.461,5.155,0.03
1050363566450655,100044310645639,SUGARCANE,"SUGARCANE updated their cover photo.",,0,"07/25/2024 09:08",N/A,https://www.facebook.com/photo.php?fbid=1050363566450655&set=a.228682271952126&type=3,0,0,Photos,,,,,Lifetime,347,337,323,3,11,,12,7,5,,347,0,0,0,0,0,0,0,,,
1050363086450703,100044310645639,SUGARCANE,"""PAGBIGYAN"" IS NOW OUT ON ALL PLATFORMS! 🪢
sugarcane.lnk.to/pagbigyan",,0,"07/25/2024 09:07",N/A,https://www.facebook.com/photo.php?fbid=1050363086450703&set=a.228682278618792&type=3,0,0,Photos,,,,,Lifetime,18030,2560,2312,102,146,,1340,866,427,47,18030,0,0,0,0,0,0,0,,,
1050359416451070,100044310645639,SUGARCANE,"""𝑷𝑨𝑮𝑩𝑰𝑮𝒀𝑨𝑵"", 𝑶𝑼𝑻 𝑵𝑶𝑾! 𝑺𝑻𝑹𝑬𝑨𝑴 𝑯𝑬𝑹𝑬:
sugarcane.lnk.to/pagbigyan 🪢

""Pagbigyan"" explores the feeling of burnout from love, capturing the sense of defeat when a relationship feels beyond saving. The song portrays the realistic side of love, acknowledging that it isn't always perfect and can be painful and unforgiving. 

Performed by: Sugarcane
Written by: Carl Angelo D. Guerzon, Francis Luis D. Beato
Produced by: Brian Lotho
Mixed by: Jay Dufour
Mix Assistants: Jacob McIntyre, Alex Krotz
Mastered by João Carvalho

Styling by: Willar Mateo - Salad Days
Hair Stylist: Rudolf Davilos 
Make-up: Dorothy Mamalio

Warner Music Philippines:
Sarah Ismail
Kelley Mangahas 
Rem Brofar 
Nicole De Jesus 
Jam Rances 
Jeremy Yap
Patricia Paredes 
Celine Ferros 
Nicka Lumalang
Joey Valverde",,0,"07/25/2024 09:00",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02HV5GSsTCxDNS3WJ5JsBSb6QhP7QrT1kjF2zLhXrjgusJBWA5USk7eXwacfcs528l,0,0,Photos,,,,,Lifetime,20922,1664,1378,106,180,1,1233,848,333,52,20922,0,0,0,0,0,0,0,,,
1049993006487711,100044310645639,SUGARCANE,"Sending our sincerest prayers to everyone that has been affected by the #CarinaPH 🙏
We hope that you are all safe and dry! ❤️",,0,"07/24/2024 19:18",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02tb98ohUE6YXrve9vAthaDhE9e4VUBwFp2Gi6uTQhAzdm4KiK82XZf8RLuUax8u1pl,0,0,Text,,,,,Lifetime,4340,379,367,3,9,,92,92,,,4340,0,0,0,0,0,0,0,,,
1046577380162607,100044310645639,SUGARCANE,"07/26/24
sugarcane.lnk.to/presavepagbigyan",,0,"07/19/2024 04:59",N/A,https://www.facebook.com/photo.php?fbid=1046577380162607&set=a.228682271952126&type=3,0,0,Photos,,,,,Lifetime,1552,400,357,12,31,,123,91,28,4,1552,0,0,0,0,0,0,0,,,
1046577283495950,100044310645639,SUGARCANE,"07/26/24
sugarcane.lnk.to/presavepagbigyan",,0,"07/19/2024 04:59",N/A,https://www.facebook.com/photo.php?fbid=1046577283495950&set=a.228682278618792&type=3,0,0,Photos,,,,,Lifetime,16993,2676,2458,106,112,,1424,842,536,46,16993,0,0,0,0,0,0,0,,,
1046551516831860,100044310645639,SUGARCANE,07/26/24,"07/26/24

sugarcane.lnk.to/presavepagbigyan 🪢",40,"07/19/2024 04:00",N/A,https://www.facebook.com/thesugarcaneph/videos/8314603005239515/,0,0,Videos,,,,,Lifetime,11822,1762,1426,145,191,,1115,1079,,36,11822,0,6133,0,4315,0,0,6133,103360.046,6.429,0.01
1039097777577234,100044310645639,SUGARCANE,feelslikeimfallinginlove,"feelslikeimfallinginlove - @[100044589752285:2048:Coldplay] (Cover)

@[100064878091978:2048:Warner Music Philippines]",50,"07/07/2024 02:38",N/A,https://www.facebook.com/thesugarcaneph/videos/559903909883759/,0,0,Videos,,,,,Lifetime,6287,582,516,17,49,,362,362,,,6287,0,2902,0,2431,0,0,2902,45006.72,6.743,0
1037237227763289,100044310645639,SUGARCANE,"Happy birthday Jungkook, este Carl Guerzon pala! 🥳",,0,"07/04/2024 05:00",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02nvJuBTxpmsirxHGSTJL424WNYy42aDe1TEHZXU3Ymxd9irzWAGZcQrSRPcVdBuEZl,0,0,Photos,,,,,Lifetime,28087,2517,2134,282,101,1,2550,2036,514,,28087,0,0,0,0,0,0,0,,,
1037154461104899,100044310645639,SUGARCANE,"11 approved entries for Awit Awards! 🌟

Thank you Warner Music Philippines and Awit Awards!",,0,"07/04/2024 02:00",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0ixCrWuGwyN8TtyQCKwtDsQ9kWet51Jruj7M1sCGJDFYSd8JKhyh93eroMECikJQEl,0,0,Photos,,,,,Lifetime,13055,1455,1263,127,65,,1992,914,1078,,13055,0,0,0,0,0,0,0,,,
1037010584452620,100044310645639,SUGARCANE,"Folks! Kita kita tayo sa Ayala Malls Vermosa sa July 6, para sa Lola Amour Album Tour 🤗",,0,"07/03/2024 21:48",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0oJooWSLZT9ybmS8uYxpcSKwgGSvt9mfiyX2ppr97J7qrky6W2N3SP86TnxUkr5gNl,0,0,Photos,,,,,Lifetime,16403,889,738,84,67,,1257,1037,220,,16403,0,0,0,0,0,0,0,,,
