video_id,title,views,likes,shares,comments_added,saves,engagement_rate,publish_time,url
tkvid_439,#TangingIkaw OUT NOW ON SPOTIFY!,529900,80200,2281,355,8002,17.142479713153424,2025-01-31 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7466012965104373000?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_157,"Napakinggan niyo na ba ang ""Leonora""?",119500,18500,296,157,1360,16.998326359832635,2023-04-14 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7221788748596481306?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_447,Do you know this song?,127200,18500,1105,180,1710,16.89858490566038,2025-02-05 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7467940751842987271?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_172,Naka-stream na ba lahat ng “Leonora”?,64300,10000,74,259,530,16.89424572317263,2023-04-21 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7224395292299316485?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_200,Relate ka ba? Share mo naman sa comment section yan!,248800,37300,1261,358,3108,16.891881028938908,2023-05-11 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7231803460436512005?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_429,pinag-uusapan na namin ilan magiging anak namin  Pre-save link on bio,168700,22200,3077,158,2988,16.848251333728513,2025-01-19 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7461582101645708552?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_161,Heaviest part of the song  Stream “Leonora” by us!,267300,39200,616,257,4821,16.79536101758324,2023-04-15 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7222248949602700550?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_372,Ano 'tong tumutulo? ah luha ko lang pala,10300,1326,260,34,108,16.776699029126213,2024-10-21 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7428214892865391880?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_462,"Happy Valentine's Day, Classmate",643900,75300,23200,875,7606,16.614536418698556,2025-02-13 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7470838232968596743?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_445,You're the piece of my soul I didn't know was missing,51300,6468,1351,40,627,16.541910331384017,2025-02-04 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7467494568246676754?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_180,Colorized rare footage of Rizal performing magic,75200,11400,68,252,710,16.529255319148938,2023-04-25 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7225909599566613765?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_449,#kungmagingakinka 24 oras kitang mamahalin beybe,191400,24900,4381,138,2122,16.4791013584117,2025-02-06 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7468277617200811272?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_472,"Unang dilat, #TangingIkaw sana ang kaharap",88700,11600,1774,115,1061,16.403607666290867,2025-02-20 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7473461661186231559?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_310,"Ang dating tamis ng pagsasama, nahanap na",210100,30700,493,77,3123,16.3698238933841,2024-03-27 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7350994175862508806?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_417,superman nagdive,12100,1681,170,80,48,16.355371900826444,2024-11-30 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7442949114800737543?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_489,"sabi nila pag gabi, bawal magwalis kaya baby balik kana pls #fyp #opm #newsong #thesugarcaneph #pleasesugarcane",15500,2101,182,99,151,16.341935483870966,2025-09-28 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7554709173271809298?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_150,Pano kaya kung may kanta si Jose Rizal para sa first love niya?,8500000,1200000,17000,6721,156900,16.2426,2023-04-10 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7220350937594924293?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
